representative,member,rmsd
petide_1_1,petide_1_1,0.0
petide_1_25,petide_1_25,0.0
petide_1_12,petide_1_12,0.0
petide_1_24,petide_1_24,0.0
petide_1_32,petide_1_32,0.0
petide_1_21,petide_1_21,0.0
petide_1_1,petide_1_2,1.31433
petide_1_12,petide_1_20,1.50339
petide_1_21,petide_1_43,1.76897
petide_1_1,petide_1_6,1.78798
petide_1_21,petide_1_23,1.97368
petide_1_32,petide_1_56,2.08753
petide_1_21,petide_1_49,2.64244
petide_1_21,petide_1_57,3.35074
petide_1_1,petide_1_10,3.42017
petide_1_1,petide_1_39,3.57743
petide_1_25,petide_1_69,3.58371
petide_1_25,petide_1_31,3.73796
petide_1_25,petide_1_75,3.761
petide_1_21,petide_1_85,3.7972
petide_1_1,petide_1_42,3.80512
petide_1_1,petide_1_15,3.85165
petide_1_1,petide_1_17,3.97644
petide_1_25,petide_1_91,4.29134
petide_1_1,petide_1_77,4.46456
petide_1_1,petide_1_70,5.2246
petide_1_1,petide_1_38,5.26935
petide_1_32,petide_1_45,5.86251
petide_1_12,petide_1_73,5.93944
petide_1_32,petide_1_78,6.62381
petide_1_21,petide_1_27,6.95452
petide_1_1,petide_1_4,7.24578
petide_1_1,petide_1_7,7.29133
petide_1_1,petide_1_14,7.41422
petide_1_1,petide_1_8,8.05904
petide_1_1,petide_1_16,8.42514
petide_1_1,petide_1_50,8.45428
petide_1_1,petide_1_44,8.69717
petide_1_1,petide_1_41,9.05128
petide_1_12,petide_1_13,9.47287
petide_1_12,petide_1_26,9.56522
petide_1_25,petide_1_29,9.59019
petide_1_12,petide_1_19,9.71579
petide_1_25,petide_1_95,9.83682
petide_1_12,petide_1_58,9.93416
petide_1_25,petide_1_82,10.5281
petide_1_25,petide_1_94,10.5434
petide_1_25,petide_1_87,10.6275
petide_1_24,petide_1_37,11.0906
petide_1_1,petide_1_33,11.6867
petide_1_25,petide_1_76,12.3275
petide_1_12,petide_1_53,12.6075
petide_1_1,petide_1_9,12.6236
petide_1_24,petide_1_28,13.0199
petide_1_32,petide_1_36,13.0935
petide_1_25,petide_1_40,13.095
petide_1_21,petide_1_63,13.1888
petide_1_1,petide_1_30,13.3128
petide_1_21,petide_1_52,13.3189
petide_1_25,petide_1_83,13.3745
petide_1_24,petide_1_34,13.4025
petide_1_32,petide_1_68,13.4388
petide_1_12,petide_1_67,13.4447
petide_1_32,petide_1_35,13.5048
petide_1_1,petide_1_55,13.6687
petide_1_32,petide_1_71,13.7518
petide_1_12,petide_1_92,13.8661
petide_1_32,petide_1_64,13.8696
petide_1_1,petide_1_47,14.0332
petide_1_1,petide_1_3,14.2157
petide_1_1,petide_1_5,14.3214
petide_1_1,petide_1_46,14.3494
petide_1_32,petide_1_74,14.3593
petide_1_1,petide_1_11,14.361
petide_1_25,petide_1_66,14.4243
petide_1_32,petide_1_84,14.5641
petide_1_12,petide_1_65,14.5966
petide_1_1,petide_1_51,14.6129
petide_1_1,petide_1_18,14.6319
petide_1_1,petide_1_60,14.6433
petide_1_12,petide_1_72,14.6876
petide_1_25,petide_1_54,14.6983
petide_1_1,petide_1_22,14.8899
petide_1_12,petide_1_62,14.8906
petide_1_1,petide_1_99,14.9479
petide_1_12,petide_1_86,15.3336
petide_1_24,petide_1_93,15.4905
petide_1_25,petide_1_97,15.5392
petide_1_25,petide_1_89,15.6497
petide_1_12,petide_1_98,15.9813
petide_1_32,petide_1_59,16.1452
petide_1_25,petide_1_79,16.4608
petide_1_25,petide_1_81,16.8066
petide_1_1,petide_1_96,17.1098
petide_1_1,petide_1_48,17.3615
petide_1_12,petide_1_88,17.3645
petide_1_25,petide_1_80,17.503
petide_1_12,petide_1_90,18.777
petide_1_21,petide_1_61,19.0962
