Time,RMSD_complex,RMSD_protein,RMSD_peptide
0.0,2.472700971802385e-07,2.595572728880965e-07,1.016620237138798e-07
0.01,0.8074633215457971,0.7657997097237462,0.6288640677495928
0.02,1.0596341450993134,0.9770736749893362,0.8065402240420865
0.03,1.2857860336131217,1.2382203246767527,0.5532197943799878
0.04,1.4330782591830116,1.2970477379754692,0.548229886818658
0.05,1.7186642268092887,1.5351551550497542,0.5055452922785485
0.06,1.8290176685957074,1.574647014121108,0.5506107405447768
0.07,1.7838124889401452,1.4094838283650637,0.7435170696807921
0.08,1.7441682517787256,1.5410095167040354,0.6123227284570621
0.09,1.9394220633106405,1.7663014048424697,0.626758726448374
0.1,1.7022964561380192,1.5115542033232072,0.5264188777972976
0.11,1.9208368874836814,1.6669072013980872,0.48947991093082466
0.12,1.8639668761828847,1.7239086496307623,0.584993787514348
0.13,1.7956397658060044,1.6020843379345084,0.5194009640847862
0.14,1.8328635084931688,1.6491588385631561,0.5151212468414222
0.15,1.968292405186569,1.7523021348514456,0.7380266337084147
0.16,2.09985452246019,1.8544170148231636,0.7230021017219231
0.17,2.2151067403360427,1.8397983451843432,0.6558743250239882
0.18,2.0165444552123226,1.7437441885570895,0.5312174285406354
0.19,1.883527468468653,1.5700947634404194,0.5933224153089297
0.2,1.8177294508844108,1.5374147331938943,0.47152015004939607
0.21,1.876325873610741,1.69329196642774,0.8213212727755377
0.22,1.7484967148721589,1.5078599147279248,0.8937744667836273
0.23,1.6304228182295817,1.4038709276441341,0.8796328762563219
0.24,1.7580353220386136,1.5738402806336258,0.8859938551131799
0.25,1.5696545704273486,1.2369787172678781,0.8159955512496878
0.26,1.6897543817114853,1.4873029054786735,0.9324397869507097
0.27,1.7761911735212286,1.50439877874428,0.8738523239077508
0.28,1.621115893138692,1.3604945870701095,0.9687912690546375
0.29,1.7197565953775023,1.393626057681755,1.040351961844398
0.3,1.615526906688841,1.3314039009532854,1.0901212229296424
0.31,1.8643754072088503,1.497237396675441,0.8106064369523203
0.32,1.7740396969335426,1.3668613065286477,0.9492343011528731
0.33,1.8686873777539639,1.537140215915658,1.0105072974282192
0.34,1.8675470654735014,1.4453872890764188,0.8303229072208425
0.35,1.8469272919573239,1.394062732078064,0.760492585647152
0.36,2.001395515312541,1.4152424359805393,0.7075790314196747
0.37,1.824018302363312,1.4054226095925282,0.8948771416014911
0.38,1.635310639343887,1.312271798439163,0.8358859701373661
0.39,1.8135640409695404,1.436037609877681,0.9138136954378793
0.4,1.8235306525686328,1.3982763245720413,0.90720290988384
0.41,2.125269201467319,1.5158662734051438,0.9219124156295861
0.42,2.077175689760548,1.496263882378661,0.9817458848871738
0.43,1.9461496691064504,1.4256439337742555,0.9695698220243882
0.44,1.807319537904434,1.4293029047054489,0.8622174787939273
0.45,1.749344652082542,1.4270455056323657,0.7385315219803307
0.46,1.7758027880235712,1.4451532336451969,0.5727165470344481
0.47,1.6207625880635526,1.2803611784390154,0.6940483526464786
0.48,1.7941669702118335,1.479472758516719,0.569204354099341
0.49,1.8938583900086583,1.5355815441747307,0.5948794660138043
0.5,1.944060815540143,1.5107038235669237,0.6681892500451462
0.51,1.7842571575356727,1.4595544124201023,0.7375623956552423
0.52,2.1623142048275854,1.668190125379627,0.5598315634482165
0.53,2.1694893709964216,1.7396580159730135,0.6555287087476244
0.54,1.7310712302115279,1.3597844083062296,0.8824762296824313
0.55,1.6858901558449186,1.3055824999933565,0.7258338840634853
0.56,1.6819549166408068,1.3805772714744295,0.9048140024371134
0.57,1.876500681411722,1.5166371027627856,1.2473233101295744
0.58,1.8709158053142654,1.5466233703635617,1.0875151786136892
0.59,2.1144504422075023,1.6297863178478649,1.3355451740327238
0.6,1.8542564124093073,1.490950283146007,1.6055514458845148
0.61,1.8670385923149835,1.5072133917331363,1.5127953159898178
0.62,1.6174948396050568,1.3153103457483968,1.5912828029248007
0.63,1.6458036041926083,1.3301380990082106,1.516476119207087
0.64,1.5629322913151054,1.33846694702651,1.5024775790479148
0.65,1.8783691264024438,1.5324525662329394,1.4020935494683597
0.66,1.6850256760908005,1.3698119295361364,1.452504105608498
0.67,1.800492420865361,1.3064458523990932,1.6908491326231383
0.68,1.6384480166987512,1.2655346019612979,1.4936899499155811
0.69,1.5191579170707101,1.1527032453054789,1.7804319796601842
0.7,1.4873570918353751,1.1920297050486464,1.703850273753347
0.71,1.4941276365867444,1.1720234056811443,1.6919196480445158
0.72,1.4402826264677875,1.17321268885805,1.394034526617986
0.73,1.5687830283132267,1.2053761541522232,1.3447829012415724
0.74,1.7526379338172642,1.3953111151626894,1.5659131799812904
0.75,1.9660415642236968,1.4180131658854824,1.699684379623828
0.76,1.9647869825997635,1.4293891246337993,1.6522199288969612
0.77,1.7103980165434678,1.4019418917195692,1.6441666288029182
0.78,1.7960694420516625,1.350341582710791,1.5707643010071586
0.79,1.8052300240003027,1.2958411389857218,1.51125904031193
0.8,1.7991620868250324,1.2761231643206385,1.3441298926554097
0.81,1.776047706581388,1.353657620611089,1.594117988071712
0.82,1.7223291540176358,1.22616355164457,1.4249702674734805
