Time,RMSD_complex,RMSD_protein,RMSD_peptide
0.0,3.496927250016065e-07,5.80387706232247e-07,1.016620237138798e-07
0.01,1.0221152004340874,0.9818082462110189,0.4528619981418912
0.02,1.0338130949192317,0.907552132192618,0.7389406407046737
0.03,1.026270275386363,0.982336837489072,0.6544956034453794
0.04,0.9990739117753901,0.9613420864948226,0.4849636883510223
0.05,0.9417166053158468,0.949268488721002,0.5563337254698179
0.06,1.2344007481934653,1.22835557433933,0.6993925838259036
0.07,1.203084848126725,1.192037367554404,0.5031912340127976
0.08,1.1256394045109048,1.130822021967261,0.49735063311638383
0.09,1.237656213876627,1.2192421596329852,0.644926434936883
0.1,1.3016834183425054,1.2252923437250685,0.6177814833433124
0.11,1.2071765630093458,1.1279483472411969,0.58298669990207
0.12,1.3744192912049131,1.3415786858703243,0.38732611031776154
0.13,1.292395279183561,1.2089402704186714,0.8644993590063116
0.14,1.2163607676758528,1.2216755751155932,0.39386462270872463
0.15,1.3332869471298092,1.2844279401766543,0.4391419965124436
0.16,1.6222578773789602,1.5120706782509514,0.6951932307528909
0.17,1.4996712127925826,1.4610376988038598,0.41305761748491837
0.18,1.431145157232359,1.3375497691480513,0.8114959392708905
0.19,1.344777022402742,1.2716072687393631,0.6221953907791018
0.2,1.4040844371590795,1.2959007397549904,0.45487195166306166
0.21,1.5705323822856714,1.4857218649071926,0.33262419681658784
0.22,1.3428967186883722,1.272399034914497,0.34926094360859755
0.23,1.5203297558434405,1.4175923491136972,0.5017733116745975
0.24,1.4533756345600233,1.3559846776702145,0.4548377590266152
0.25,1.4129293860111327,1.3419391639470266,0.6535701883745898
0.26,1.2344071465815611,1.094291385902435,0.4564500548600922
0.27,1.2454520883268463,1.170228765024004,0.7082864829098794
0.28,1.2354146515976812,1.1882487620428406,0.693318651474107
0.29,1.1217269437519533,1.0829832310408936,0.5903940110728624
0.3,1.2429895220786271,1.2297596109749547,0.46649453573829364
0.31,1.2017584595773154,1.1471730465487626,0.5633678585325441
0.32,1.4606037934559801,1.262180425095401,0.7908140873133358
0.33,1.7652339617358237,1.3136251922692506,0.8002483570446304
0.34,1.7319470327752509,1.3291246935453396,1.1675007221907148
0.35,1.5949131135939194,1.336171704387517,0.9422950719235774
0.36,1.5519597012222588,1.244520509554762,1.1014767006409398
0.37,1.6473123011578374,1.4832342032962453,0.8865893426356608
0.38,1.7851538827869495,1.4693143296032776,0.8594838637281808
0.39,1.6913202586117906,1.4127264428635211,1.0824531222904312
0.4,1.6975408593894752,1.4530919096557318,1.0489806367186267
0.41,1.7411971440681386,1.3948337119054215,1.2967096497654798
0.42,1.7154829001138965,1.327613974448366,1.271889111084717
