Time,RMSD_complex,RMSD_protein,RMSD_peptide
0.0,2.472700971802385e-07,2.595572728880965e-07,0.0
0.01,0.8418805374622449,0.8354791071993583,0.44900456938261385
0.02,0.8683606732497315,0.757426658557896,0.7986352406893902
0.03,0.9401671871354297,0.7778328534221997,0.9015094977216092
0.04,0.9863964780627679,0.8476101426057564,0.7133076577822732
0.05,1.0506122965308249,0.9447930310446737,0.8157230450276256
0.06,1.2689343384637988,1.0187189465728497,0.89577383974037
0.07,1.390754553719294,1.0727843453993615,1.3277439291291504
0.08,1.5310366579303807,1.1394300610694452,1.8913415830456046
0.09,1.5834112258663178,1.1852095554260353,1.8639104277532266
0.1,1.4831055207868347,1.2533030438355368,1.6160316117247382
0.11,1.5571215547925523,1.2759825120541428,1.4420834099866842
0.12,1.6020593897683775,1.28826831157058,1.5921075803816633
0.13,1.5754635293145347,1.344341943388059,1.5440420828900432
0.14,1.6030112211145724,1.2706391766056486,1.7174257487052398
0.15,1.5975553077420543,1.2898522577623481,1.451962750330754
0.16,1.7491211447014874,1.5802333623571923,1.4723930668459388
0.17,1.6303660223493135,1.4439916471772107,1.2241660775341745
0.18,1.7081363534924,1.5537754357409905,1.225316952094196
0.19,1.5127209568396196,1.4572251696511047,0.8135862644566904
0.2,1.6820326494948616,1.5754776316889376,0.8366768391545729
0.21,1.955394280443184,1.8695332774400206,1.2117918023669645
0.22,1.7811829088689963,1.743202493044673,1.0577868591912611
0.23,1.7550688052128283,1.7667400566081028,1.063635758780255
0.24,1.7363453704218192,1.6600256118543713,1.0034141579800528
0.25,1.8838564443427501,1.8358990270677686,1.0155787346486682
0.26,1.9971040876670871,1.9639642842833847,1.3633284115076527
0.27,1.9723425888306696,1.920434310071851,1.3187552575942694
0.28,1.9784792062250676,1.8668808533224162,1.400431412647619
0.29,1.978350074614896,1.8142049404598588,1.6587051403738842
0.3,2.0915417974941706,1.9999969065787027,1.2329807166657323
0.31,1.8690255094055528,1.8326570779441471,1.1550078217903677
0.32,2.0861302504716503,2.004396130420729,1.382155220393113
0.33,2.351472738915063,2.2695912166172603,1.1610904168671765
0.34,2.4215455636443437,2.187608377604677,1.4244743896540377
0.35,2.2598634210027324,2.0470421809230865,1.2979743481270665
0.36,2.153659722330813,2.098631503552462,1.344376438274218
0.37,2.206685964396948,2.089786089826349,1.4652846716174495
0.38,2.164287791973539,2.042867331076494,1.6936410008084202
0.39,2.233909271255771,2.1089764458748235,1.4589797162193217
0.4,2.10328818990539,1.9725927949123216,1.3903191622118085
0.41,2.075162758499448,1.883783574636533,1.2671132907966267
0.42,2.1420078589929514,2.0262156469140646,1.395879237739996
0.43,1.9089731287787601,1.6497206755467206,1.377047471579356
0.44,1.9548262308692264,1.701687173400308,1.8280808050696595
0.45,1.8774658535465294,1.7604805801846424,1.7377567186924197
0.46,1.9389279103510744,1.70307351860954,1.9380578918816458
0.47,1.6893365752805698,1.5312842484026252,1.6237091460091055
0.48,1.8898094710761262,1.631214662816711,1.6966209727943597
0.49,2.122963494108268,1.7670132649418953,1.657501222724757
0.5,1.9606227341133518,1.6486295676266343,1.9297864309285537
0.51,2.0765759180493544,1.8539726287591112,1.9152417577115295
0.52,2.134795008143058,1.95163651854611,1.860352720527459
0.53,2.1042645597826404,1.9399948870260963,2.004181439373813
0.54,2.155324222548141,2.0467196180541087,2.084278573854932
0.55,2.1483365079160404,2.0953458486900463,1.9878316689514428
0.56,2.0313069939449764,1.9794477771252668,1.763031674043275
0.57,2.3232079909181396,2.2950025155274894,1.711218106199576
0.58,2.2928205085795943,2.2776126727884156,1.9161161908182387
0.59,2.4102531761536694,2.3430195226728943,2.0008395013599913
0.6,2.5410730738523686,2.4098364672171937,1.9675192740958178
0.61,2.5813280084934798,2.4665803797112824,2.020355407321171
0.62,2.6347158047999146,2.5409473359812504,2.0504842037711364
0.63,2.756518472159735,2.6981677199633745,1.9200328764346626
0.64,2.6421532110639245,2.6129128247212523,1.9448500877217973
0.65,2.4036716797600595,2.385797980255907,1.867658001630056
0.66,2.3045492050131555,2.2778200786377165,1.8064088097822188
0.67,2.5482163766942456,2.44683523366538,2.034415303108798
0.68,2.6312732609225793,2.5072911735845644,2.0755591673612326
0.69,2.415110410863694,2.4293745167046934,1.8012283928531556
0.7,2.247571391104061,2.260467969442471,1.794001624153324
0.71,2.3169048060262107,2.3077737235970175,1.8794732096714244
0.72,2.3894135303748016,2.3148042979408294,2.036881752018072
0.73,2.380123329766431,2.307862297843545,2.190506382671306
0.74,2.308284817546982,2.2183672813434816,2.254147141166913
0.75,2.4226848026047656,2.2944182100429917,2.197405623114502
0.76,2.642073716805124,2.5334058115548768,2.3191718313104595
0.77,2.4759632669947513,2.3884554634155815,2.231810203666719
0.78,2.3913834439782398,2.37414112149263,1.9671848196734854
0.79,2.330181256538618,2.320126767027055,1.8419138776850035
0.8,2.3138225794716645,2.303924080277589,1.9343677539264459
0.81,2.411700591057328,2.3985425580478754,1.979428604533565
0.82,2.491984764481686,2.447327203762,2.125092358354151
0.83,2.3162680403991764,2.2477425294461852,1.9106801551324617
0.84,2.3734080886356006,2.3236405135544587,1.957432792388935
0.85,2.469545975230296,2.3875506461341693,2.0097842206596797
0.86,2.4314149424809286,2.289241312689417,2.0361372550218206
0.87,2.3467786149647742,2.27187806702976,2.117882367094318
0.88,2.0831833407016265,1.9839240007419299,2.0102553468733566
0.89,1.8749756821452936,1.7780305849861688,1.9484562925123696
0.9,1.9700614954417148,1.8786912833522071,2.034680553127827
0.91,1.9797879684098998,1.9067724760291578,2.091754119344052
0.92,1.9178471329540396,1.7773636259347263,2.2768714279948274
0.93,1.964850020143198,1.8883993842566928,2.259067046712572
0.94,1.9844012799596626,1.8606240590338503,2.343579117703494
0.95,2.0472132008413553,1.8750702945303515,2.316826469682155
0.96,1.8875704697921682,1.7783916481235766,2.0792671258531645
0.97,1.9049271383818516,1.8006744206785437,2.2965281957830963
0.98,2.0707387303325095,1.9528037222244623,1.9821746021591082
0.99,2.132245576845069,2.0988232655212586,1.9591249715262478
1.0,2.1254271860853,2.091268737217955,2.096334316815589
1.01,2.2431769397910264,2.19566289665756,2.0783802881600066
1.02,2.0604913316202103,2.0083945016728135,2.0863895161010246
1.03,2.1170562909469295,2.0522478815152017,2.1284315355482746
1.04,2.0243889707480776,1.9849491845655804,1.9816627758713252
1.05,2.0552401050073805,2.027277037242087,1.9559347350296634
1.06,1.9419748726005457,1.88187002210825,1.8579685750969028
1.07,1.8624683819970043,1.7419805117985951,2.048381941061782
1.08,2.1006890923506027,2.019888945059151,2.148566092114513
1.09,2.002192228574864,1.874217528126709,2.078674556594116
1.1,1.9354134464446895,1.798389027525734,2.3048332942430645
1.11,2.079281645794008,2.019185632448687,2.1488045242059526
