Time,RMSD_complex,RMSD_protein,RMSD_peptide
0.0,4.2828437150866684e-07,2.595572728880965e-07,1.016620237138798e-07
0.01,0.8612747005242434,0.8160307863646449,0.46902578349413093
0.02,0.9957305356041171,0.9594103626697736,0.4611435919141411
0.03,1.0667902806884242,1.048594936332244,0.5639456087966972
0.04,1.2265963225495844,1.1962144787004447,0.9158087241879209
0.05,1.558920256082726,1.510589094406817,0.5937098576177322
0.06,1.5528637694288066,1.4830129429449495,0.7722951195253257
0.07,1.7427328065234364,1.555207884341269,1.030938628391932
0.08,1.609054234844388,1.4904955149337975,0.9781874943368251
0.09,1.473085671211468,1.3963530625119114,0.7993687256824746
0.1,1.6490431624682198,1.5203994651964647,1.0229912017692573
0.11,1.8826818011085886,1.7561807823938878,1.1431950765712624
0.12,1.8074440121113007,1.6745244875849659,0.9799871998342518
0.13,1.78184452391346,1.6248708035813233,1.2837720770373093
0.14,1.9137850678940314,1.608585799215159,1.7330541776118276
0.15,2.107190770891291,1.8264742905245441,1.5775926241598368
0.16,2.0760997850276115,1.5608021734326487,1.6837548380133143
0.17,2.1058110677639608,1.7078858186809502,1.9089274605195559
0.18,2.088966785106604,1.6687587859036959,2.308477857819442
0.19,2.1288578554081994,1.66217556039711,2.2402064348038317
0.2,2.267011500085598,1.7749909185321597,2.09720634146256
0.21,2.005408349452902,1.6024459966921556,1.938371720925407
0.22,2.248690065732474,1.7244448592108446,2.178432774442799
0.23,2.2710818565414037,1.660396555658089,2.5201951667263063
0.24,2.288059362670359,1.6722634118051596,2.2617624793758573
0.25,2.4686396567414617,1.7322213675253864,2.0781910078503194
0.26,2.6395421694098977,2.02719447539831,2.1518119951878387
0.27,2.5937992751277066,1.8713988472275533,2.277349780642878
0.28,2.5579002959223227,1.9143391285268663,2.3910879448686404
0.29,2.7067023194560886,1.7069652309543997,2.7064103417963348
0.3,2.5437175394107983,1.7692402608492572,2.4693533772269256
0.31,2.487133608976823,1.7921969297052374,2.098206262399513
0.32,2.5677859391314524,1.7576701564673998,2.3450772117654286
0.33,2.4757008627254686,1.718183965911681,2.0248518946963387
0.34,2.735146320426413,1.9717185550011271,2.356678034882137
0.35,2.811552250230792,1.951611509902783,2.402773153740013
0.36,2.9454541785666604,1.9376826895767887,2.8877916941738273
0.37,2.991330621208945,2.0284153010718873,2.569999318237878
0.38,3.185070382091512,2.286965293331133,2.6088444041817014
0.39,3.3338738226555487,2.4359482034614177,2.4572657426031923
0.4,3.3106672445789123,2.401140069466159,2.573923359171923
0.41,3.186765889449288,2.3563806072891835,2.401522313255667
0.42,3.14904960056814,2.276658210741603,2.651857943122458
0.43,2.984570271187747,2.3024040856620434,2.2688712425310236
0.44,2.983379387739489,2.2741428822210743,2.2964604063752576
0.45,2.8382409730753664,2.1114338798300145,1.8266410037523877
0.46,2.7264948860346627,2.0151114180333414,1.9863927783780984
0.47,2.7467420027382254,2.025613280597005,2.368337998312042
0.48,2.8144304540361924,2.1476504862746912,2.4727762979520853
0.49,2.8627322425502304,2.170082612210817,2.308773347679181
0.5,2.655163352962595,1.954812285194306,2.3896881972412958
0.51,2.7318271801654705,2.066802437772467,2.3006676076385846
0.52,2.7423489561806527,2.064102213142755,2.2622619262084807
0.53,2.799924195785497,2.199616898996836,2.3318039936742974
0.54,2.641261798692071,2.076974365787061,2.1280577338860356
0.55,2.7024075053605836,2.1582598522620797,2.2081340795443594
0.56,2.4441227609831664,1.880565128950285,2.1812894187026446
0.57,2.517344466634767,1.9953507187072623,2.245343314138073
0.58,2.5450485092694355,2.013807658644102,2.226860831976958
0.59,2.627652166680417,2.123437692236302,2.156658039136677
0.6,2.7706509192474793,2.219953904902788,2.2377208535601776
0.61,2.7374406987672777,2.245497860746534,1.9552756484988945
0.62,2.613456751858837,2.186190724792012,2.2928805161879544
0.63,2.5375756012978172,1.977953416289462,2.3535805247663464
0.64,2.364656062702893,1.8482027786923043,2.0589911168282593
0.65,2.6619965347157537,2.0613115782827163,2.413579532830601
0.66,2.688138117515577,2.0689314975038102,2.4499421329887863
0.67,2.5123626108894523,1.9264993524190204,2.3334655510978517
0.68,2.72765680634087,1.943354978653447,2.527400580540665
0.69,2.7543010288057364,2.000119473868804,2.3046137254448116
0.7,2.7261064618236333,2.1281287119468852,2.2876825883787033
0.71,2.6839377574476524,2.0000900706743323,2.4086393450068653
0.72,2.7199028861861603,2.0037691697476077,2.3698603703639662
0.73,2.770144075381495,2.0919411948056785,2.3383805435914504
0.74,2.8067954343248522,2.195678739595316,2.3392487994320064
0.75,2.8293014205890175,2.1558088297616944,2.425456419400041
0.76,2.715535657303099,2.184524438316618,2.017387678375136
0.77,2.8767305964598346,2.2935525388006015,2.371396406581358
0.78,2.859945478391766,2.201132295442624,2.4533101188064728
0.79,2.9310871974622126,2.3686161710219804,2.435153277248275
0.8,2.88811248435176,2.349122600229574,2.5097089238998764
0.81,2.7904187167312307,2.221577540140383,2.594228440817323
0.82,2.692290178578029,2.055836299478085,2.597224224317165
0.83,2.57486772358956,1.9365347504714427,2.7305686077862155
0.84,2.7252239824497346,1.95106570106611,2.692404080526915
0.85,2.7389958275873485,2.0583545083818784,2.6182783299667625
0.86,2.894100991383307,2.1680146810277114,2.7549408220286695
0.87,2.856096549613789,2.0452034522122906,2.598940170455824
0.88,2.8128905690743693,1.8995356984224476,2.714585569964972
0.89,2.9730172393844367,1.9113007410598237,2.951753170902504
0.9,2.912534940859171,1.9395384428873117,2.574235002022831
0.91,2.8758463495773454,1.9361037204702345,2.8502926111308895
0.92,2.8213333027895833,1.9701279849246154,2.9272238647542186
0.93,2.913042490811605,1.918046348146362,2.856630295420941
0.94,2.865227077547906,2.146416132582935,2.59121664514757
0.95,2.796376111132145,2.2299925397939364,2.562499051997928
0.96,2.8497710211680127,1.9954665250583852,2.7908789883810234
0.97,2.794257452150041,2.0194823626990464,2.602172157274962
0.98,2.672599920867454,1.9688225314450165,2.5215618728153726
0.99,2.7115877083666753,1.9305183727369397,2.6139014777813547
1.0,2.804084478867188,2.018248375323621,2.804998782125054
1.01,2.768656771628341,1.9960825820875638,2.549649988156871
1.02,2.8050025783364645,2.136591352289052,2.739925656856162
1.03,2.694484496495534,2.0563427904798544,2.805821831923377
1.04,2.760112524398473,2.0904108504454464,2.761541127568447
1.05,2.6259672815601367,1.8755494506896335,2.791245268933471
1.06,2.870045696587073,2.147250603366273,2.89132080131785
1.07,2.6451807722795864,1.9292786106456512,2.4973204881641564
1.08,2.6600396067382097,1.9836066649248218,2.499869258430302
1.09,2.8400216158617186,2.056579165901907,2.3890222429913393
1.1,2.813328953143822,2.063569432491191,2.605799505654403
1.11,2.7430797153241744,1.8998609515064733,2.5466975416488347
1.12,3.0667402780999313,1.7905271799922753,2.755768283590643
1.13,3.2844447256258777,2.015054604128239,2.9333990011179703
1.14,3.2228501711348256,2.124580108981417,2.894417812510077
1.15,3.0061977665497244,1.9669082422822366,2.9198042148501604
1.16,2.907143332139701,1.9169022494950978,2.864019911144991
1.17,2.8852126209416498,1.9903312318553406,2.715697815138673
1.18,2.851641905734952,1.8425889761878596,2.8931522305199002
1.19,2.559861533097756,1.8038980792665102,2.7078706451572088
1.2,2.7287920288173146,1.8362662945425776,2.9560460234626387
1.21,2.7524502728952203,1.8556208258801261,2.770783494211371
1.22,2.662467770503222,1.865913371523937,2.92175454661069
1.23,2.560344464234293,1.73594974469338,2.70217563479866
1.24,2.3867021988842807,1.7490036078727322,2.4913762489978755
1.25,2.481469226623122,1.8242434687896179,2.657842989099241
1.26,2.5890915116705786,1.9369600839319536,2.7866543585068704
1.27,2.7587510206730603,2.14563278532774,2.577894833384176
1.28,2.6823627268375847,2.0232982004634574,2.3120187285177565
1.29,2.6031821138086113,2.1013408040451966,2.0787963050127893
1.3,2.69405662321392,2.0199771611991904,2.4454606584395435
1.31,2.7078050189153626,2.0106913783369462,2.5452146587208393
1.32,2.6559400530458888,1.917498474128764,2.606460759782985
1.33,2.639006937583188,1.9751954199867843,2.462639498159271
1.34,2.774879460637697,2.068660705023301,2.900003080334891
1.35,2.6384033458617866,1.9496770304415083,2.6409247267204097
1.36,2.7537451861076816,1.9295347317376061,2.8598591396423068
1.37,2.8028292556798804,1.954761843466422,2.6329033925984198
1.38,2.917560626453182,2.138044445834973,2.6925427249634395
1.39,2.5968169664474043,1.9265528814711455,2.5377483417230584
1.4,2.831127883453741,2.0534836043751605,2.5931868832643397
1.41,2.816849776613753,1.9934338079290064,2.6967190487873705
1.42,2.913276580771634,2.0380687961618507,2.6472060216537656
1.43,2.863910432390157,2.008444688941546,2.8180109552250654
1.44,2.7915615615899823,2.0541169434333977,2.7234802195034673
1.45,2.647748826199486,2.071965566517623,2.4132646073342263
1.46,2.522523981360027,1.9080159763584343,2.55862519764718
1.47,2.7508553962125757,2.1600966497080134,2.3915930469114404
1.48,2.69114567305188,2.2159183494019774,2.422679792853635
1.49,2.7117755315122904,2.099158529809281,2.5032941225812024
1.5,2.7385343946498573,2.0704812947801496,2.6537551860902595
1.51,2.456069141698988,1.8030114109778348,2.3515604382316657
1.52,2.6207083949714853,1.9188897453864109,2.386321732756219
1.53,2.479808764926536,1.8397791483317731,2.5665025455386536
1.54,2.7148384668511736,2.078439201975831,2.4509504524555616
1.55,2.5637297623524713,2.0257027670418677,2.3688603025505945
1.56,2.69810975085043,2.0833786506109875,2.537646398977815
1.57,2.6980638912437542,2.0669259690655353,2.7348851047002096
1.58,2.6941641752437406,2.009362615883118,2.83713441953312
1.59,2.6654899260820333,2.101771785385829,2.519099779718774
1.6,2.77408057524563,2.153392417287348,2.5629835972251285
1.61,2.676497395698574,2.0313035105293515,2.72606736515824
1.62,2.753744324975713,2.137029555103841,2.4553729215503606
1.63,2.701561438980833,2.135331551853728,2.0511321556036437
1.64,2.522843910531617,1.935953342536187,2.333345095237771
1.65,2.824265055390162,2.1924063638461546,2.1669392304716344
1.66,2.692989801568317,2.1153425733745586,2.2715366995413975
1.67,2.60675500149411,2.201126935669958,2.0513484825386206
1.68,2.529479818630443,2.0669527889689707,2.15365395853703
1.69,2.6511373954953874,2.078790616030491,2.4580050102884745
1.7,2.6004718639409576,2.0077745908802798,2.2946158729153985
1.71,2.6008970886509593,1.8529318089739273,2.4065706298542615
1.72,2.5433750663114454,2.010875505734773,2.270216599350139
1.73,2.4084746712360725,1.9257197313669128,2.274596647035571
1.74,2.41358905264567,1.9474667679983817,2.263917230315443
1.75,2.541014545770955,1.981006495851561,2.208418186026693
1.76,2.278312094970502,1.7518108269231045,2.0275325761476606
1.77,2.390058766946238,1.7436321137845956,2.077284210352368
1.78,2.464101938311198,1.7172075343614315,2.101784605376155
1.79,2.6977142936184273,1.6953683925971412,2.244085445856197
1.8,2.628279414912125,1.9604751138755445,2.296787361454725
1.81,2.5438346049793377,1.8564524643872056,2.472985005979626
1.82,2.581669023637025,1.9681742955318475,2.433036138568635
1.83,2.5041235381539435,1.8417525450856393,2.2990230859416707
1.84,2.65604237238587,1.9622942545816986,2.405962394574637
1.85,2.6897946086096853,2.013837337043204,2.298196551711131
1.86,2.7445812668274803,1.871973459938954,2.337590098238464
1.87,2.77228391524358,1.8653229909952938,2.465777181636229
1.88,2.857034299168279,1.9990210153704586,2.228153278000919
1.89,2.849908808800655,2.089845834749618,2.1719967932595403
1.9,3.0000480935129836,2.075647412173141,2.476309583440201
1.91,2.9081769486061906,2.054625549220694,2.089541441546652
1.92,3.0813139193369365,2.3123297564734178,2.3921391337734916
1.93,2.8212479086930964,2.16933590012067,2.2928486910690684
1.94,2.8719490283874856,2.1514047532283396,2.3828251422624214
1.95,2.864970376939163,2.128468949598792,2.291773884146503
1.96,2.8601957660639252,2.1360298240800843,2.3438681588958667
1.97,3.058082140197034,2.110609965255112,2.482869075366761
1.98,2.955378960603185,2.111238887121715,2.5428984480282666
1.99,2.823864445559549,2.1016384540467477,2.3798502953160785
