Time,RMSD_complex,RMSD_protein,RMSD_peptide
0.0,0.0,5.19114545776193e-07,1.066240299940009e-07
0.01,0.7358549925567612,0.7506110383387932,0.39442024548949944
0.02,0.8873781545866937,0.8316928552372881,0.4702330510183579
0.03,0.8972352647378553,0.8311084093159035,0.5613273109876192
0.04,0.9574207921431755,0.9255508906376494,0.5323322027470239
0.05,1.0213016949933067,0.9142123498280051,0.3997078673621957
0.06,1.1788824150914947,1.0544719495370007,0.6522323673861237
0.07,1.1473298526661648,1.1004282993266854,0.4832654290941048
0.08,1.3130276050483078,1.3053637389299795,0.442011356464653
0.09,1.1362873470774066,1.1533093050171008,0.4891128492923138
0.1,1.1862987213354386,1.1956594295266747,0.2920859306040854
0.11,1.0828075890043625,1.0506786431671824,0.5268552911664022
0.12,1.037815900480032,1.0073554781546623,0.3802356907051121
0.13,1.2666944847088557,1.2418754011580013,0.8059336448312557
0.14,1.3482423551310887,1.3449256876853657,0.9668978051091377
0.15,1.3771742024503237,1.3688204957298893,1.0056210761134134
0.16,1.429963055497539,1.429608609369976,0.9263511040903063
0.17,1.4530333623286,1.4313569688088579,0.6728482746199482
0.18,1.534211108826847,1.5247049451652428,0.8240622716962682
0.19,1.425434845128719,1.3779579708485683,0.8942169831793207
0.2,1.4842700106658424,1.495723430488979,0.7813482350552144
0.21,1.564527530404761,1.5714999418336821,0.8696189498239296
0.22,1.6275761285096177,1.593744574308918,0.9889680430705202
0.23,1.5513332801583757,1.5058497122569734,0.9712815836571156
0.24,1.6154491720147066,1.4837735171912252,1.2944726157620472
0.25,1.5687273355003402,1.5074285548969477,0.9579111908063984
0.26,1.6049800447666014,1.5376215111517555,0.8868619754567101
0.27,1.632670280468585,1.5718812572391507,0.8046728339131652
0.28,1.836446524511329,1.7962040637497272,1.1554796044539837
0.29,1.7108273508135352,1.6392368987265717,1.1267455598216445
0.3,1.7524002459309802,1.6762566597546098,1.0896975652048324
0.31,1.739721137815662,1.6674471657197818,1.0500705954205696
0.32,1.9176498652930567,1.8050556145394696,0.8411255596559142
0.33,1.8181040203236463,1.690660418320689,1.1066290306053292
0.34,1.6609578972713008,1.639028639119459,0.7701306995710735
0.35,1.6726996055579355,1.687256297633844,0.7488924774720093
0.36,1.6023020506649064,1.5934687110916081,0.8475574908970622
0.37,1.796687315180241,1.7921380592118126,0.9422433966308807
0.38,2.024107994991465,1.9662292360179967,0.987475658235927
0.39,1.8523981590200118,1.8341114306070652,1.066949447271419
0.4,1.860172150507079,1.7521570629361414,1.2662763166595692
0.41,1.830844462413407,1.787330200681061,1.251882780250051
0.42,1.71676658680551,1.6483117386282478,1.1594831602910032
0.43,1.835734802558308,1.7704230533659684,0.9906646731471553
0.44,1.835403909343054,1.7757809389690509,1.03821416554657
0.45,1.9319338899350562,1.8505304535505955,1.2499815942501815
0.46,1.8587987088677067,1.8249572570908685,1.0053298048463348
0.47,1.9030801971347766,1.8426409823964294,1.310531551990244
0.48,1.8621366067110912,1.7317178048340898,1.3449954768394363
0.49,1.8672233999322945,1.7657620848025803,1.2642679431864328
0.5,1.8231137654613239,1.6962807557661868,1.378242145054291
0.51,1.8112598693469688,1.7357280563974442,1.0784409253786966
0.52,2.0568259251167267,1.9709852605193616,0.8929570857503533
0.53,2.075834258138135,1.9488930393957042,1.300634626943656
0.54,1.790018006388469,1.6015172230887849,1.2119187611141755
0.55,1.7432532176887137,1.6841994973098433,1.0294969222112598
0.56,1.7807720517716221,1.642298348896987,1.1905532447793326
0.57,1.7564630715171057,1.736862318329392,1.0827360834043072
0.58,1.7335151065360408,1.6253553065440802,0.8466705933320874
0.59,1.811106576586543,1.7403560404216045,1.0955758186058218
0.6,1.656166958680923,1.5980749691432223,0.8546385077333458
0.61,1.8155518936505497,1.7683262197045484,1.1207179528563984
0.62,1.79576103799926,1.6242864262867684,0.707301982197773
0.63,1.7675556546223357,1.6349044410073466,0.9937312395946222
0.64,1.7752440044081417,1.663338356942763,1.0542794160950155
0.65,1.9007555919856378,1.7086201705795305,1.0804121457498983
0.66,1.916632615028586,1.6214795298973328,0.9336326395798625
0.67,1.8775635305533402,1.5467130253519692,1.0454707714975775
0.68,1.9217197658263376,1.6599512781989736,1.0110724165989924
0.69,1.9654537765867166,1.6920081312251558,1.1051285685127326
0.7,1.9484827803555547,1.635199623970356,1.0497491789505389
0.71,2.038278042069666,1.774357963811698,1.1004717345778818
0.72,1.9473882623683099,1.655058008550723,1.0685757682146964
0.73,2.163091892329264,1.8595082564899066,1.0476484520860438
0.74,2.1239241468562207,1.8960306930923077,1.1128325391384581
0.75,1.9393393195888746,1.6954479844954373,1.034922004216626
0.76,1.9110894336612811,1.7042745099713288,0.7596510349657872
0.77,1.9068917343820608,1.6906439901565173,1.1257157406103597
0.78,2.0530991866285024,1.777713831867777,1.0187547632221576
0.79,2.0089442583096746,1.8082134024595822,1.25161582326349
0.8,2.0582872166890755,1.6823132506066194,0.8535529098813147
0.81,2.061102092187796,1.6529000456054812,0.8135743449010775
0.82,2.1027938585433357,1.8523073570500248,1.0783562169537517
0.83,1.8742581448522497,1.6013487960648554,1.1764888356031176
0.84,1.8334306609383213,1.5759262645157717,0.8527679045980336
0.85,2.099940189214532,1.7846692761707565,1.2418410199196503
0.86,2.0469797635351883,1.7577070556891181,0.9306629061292155
0.87,1.9843881957484462,1.7326869181353663,1.062869595464422
0.88,2.0536548888318125,1.8549423032460648,0.973889858137594
0.89,2.1686203916378717,1.806790273918044,1.1599560464401624
0.9,2.0519297962704957,1.8289808747479128,1.0371092524359853
0.91,2.0927414068416885,1.8856063087565071,1.148546095707255
0.92,2.1461555997716384,1.9733048570300542,1.5890825683656105
0.93,2.0041354328823457,1.788524397477125,0.9689206388230068
0.94,2.1110315580743544,1.8901631525918319,1.1409855123051504
0.95,2.0619212995783163,1.8210843002997767,1.0985126263477516
0.96,1.9675590874903892,1.7438793381951487,1.0522355468233469
0.97,2.1158293193205595,1.8797696083287578,0.8288774236363754
0.98,2.019822637197393,1.7690716962998434,0.8111673068530454
0.99,2.2146130428261706,1.851664501344876,0.8702991877490518
1.0,2.042843704617555,1.7457392512115877,0.971574755531084
1.01,2.0793264390001878,1.799007910723216,1.0457210760494133
1.02,2.1959285092009453,1.98357377978616,1.1210790310805407
1.03,2.1366681061908164,1.8115483901679608,1.0540581216536367
1.04,2.1781196341322593,1.9448113544084074,1.1390125483034341
1.05,2.1353509034091123,1.899549311079243,1.2281332705798371
1.06,2.3540593794526763,1.992032273775552,1.1151674443682358
1.07,2.308351753853764,2.0248333717429756,1.3892921251946806
1.08,2.295810415497919,2.0427265061432833,1.05521659047346
1.09,2.430614521692222,2.218237193727815,0.9200890592195805
1.1,2.3444521719098543,2.123191826202247,1.0719227020582618
1.11,2.389259122607388,2.212838610871805,1.1850101607559338
1.12,2.3973175288322155,2.1864750146058327,1.1029093480988281
1.13,2.2158087563791535,1.9411560697302093,1.078158719134498
1.14,2.2576933687768124,1.929231189877417,1.1019961717708922
1.15,2.271771517755875,2.0561148930026567,0.9931079338104335
1.16,2.4759433664450134,2.0390579512845357,1.3041343566530936
1.17,2.41909227900998,1.8494764898704197,1.1855249688325615
1.18,2.378154220686606,1.8825740199825216,1.2836377632314153
1.19,2.52467662600616,2.042771793840346,1.3294511538905627
1.2,2.710137794171049,2.0902307017256043,1.6954464695356828
